feature,OR
N2_theta/alpha_max_O,0.763982911543733
N2_theta/alpha_min_F,1.0141611186676465
N2_theta/alpha_min_C,1.005701781672528
N2_theta/alpha_min_O,0.8765074742032695
N2_theta/alpha_mean_F,0.9142814938456999
N2_theta/alpha_mean_C,0.8863282116432892
N2_theta/alpha_mean_O,0.8346831186064841
N2_theta/alpha_std_F,0.6630941096791687
N2_theta/alpha_std_C,0.6250949272321028
N2_theta/alpha_std_O,0.7322926664987524
N3_mean_gradient_F3M2,0.46295982820644066
N3_mean_gradient_F4M1,0.38231260059346983
N3_mean_gradient_C3M2,0.3805660636607386
N3_mean_gradient_C4M1,0.39773834299203964
N3_mean_gradient_O1M2,0.4090277827033104
N3_mean_gradient_O2M1,0.40369934056655943
N3_kurtosis_F3M2,0.5525100311416125
N3_kurtosis_F4M1,0.5318893862815117
N3_kurtosis_C3M2,0.5040799706764404
N3_kurtosis_C4M1,0.4636390832812129
N3_kurtosis_O1M2,0.6975694751485535
N3_kurtosis_O2M1,0.5921473499236026
N3_delta_bandpower_max_F,0.38299623302469815
N3_delta_bandpower_max_C,0.37112029827263715
N3_delta_bandpower_max_O,0.41574841379948313
N3_theta_bandpower_max_F,0.5038621353993592
N3_theta_bandpower_max_C,0.4671391609351009
N3_theta_bandpower_max_O,0.5250502587911389
N3_alpha_bandpower_max_F,0.5590603266289136
N3_alpha_bandpower_max_C,0.445023392670924
N3_alpha_bandpower_max_O,0.41616535345129385
N3_delta_bandpower_min_F,0.43259783855463335
N3_delta_bandpower_min_C,0.4325170111395633
N3_delta_bandpower_min_O,0.43628832399615447
N3_theta_bandpower_min_F,0.49795216216823224
N3_theta_bandpower_min_C,0.4267917078057461
N3_theta_bandpower_min_O,0.43816230912260007
N3_alpha_bandpower_min_F,0.503533137344103
N3_alpha_bandpower_min_C,0.3631151907658994
N3_alpha_bandpower_min_O,0.38359587605228485
N3_delta_bandpower_mean_F,0.3886514028002333
N3_delta_bandpower_mean_C,0.3867034301340199
N3_delta_bandpower_mean_O,0.4232007978258769
N3_theta_bandpower_mean_F,0.5166400920957599
N3_theta_bandpower_mean_C,0.4665540325404483
N3_theta_bandpower_mean_O,0.4973007844329725
N3_alpha_bandpower_mean_F,0.5327878378086306
N3_alpha_bandpower_mean_C,0.41517744018391906
N3_alpha_bandpower_mean_O,0.39303172854856283
N3_delta_bandpower_std_F,0.30599957067472067
N3_delta_bandpower_std_C,0.30416649945634117
N3_delta_bandpower_std_O,0.3846536697561182
N3_theta_bandpower_std_F,0.4530275145722193
N3_theta_bandpower_std_C,0.399148555971481
N3_theta_bandpower_std_O,0.5222177960489351
N3_alpha_bandpower_std_F,0.5838147110740518
N3_alpha_bandpower_std_C,0.4643989842764167
N3_alpha_bandpower_std_O,0.37935751624034786
N3_delta_bandpower_kurtosis_F,0.6460080886869997
N3_delta_bandpower_kurtosis_C,0.6039669969790371
N3_delta_bandpower_kurtosis_O,0.6988629732043696
N3_theta_bandpower_kurtosis_F,0.6833354861654268
N3_theta_bandpower_kurtosis_C,0.6512749808957286
N3_theta_bandpower_kurtosis_O,0.9323738466442087
N3_alpha_bandpower_kurtosis_F,0.9189235607665595
N3_alpha_bandpower_kurtosis_C,0.9560315489303091
N3_alpha_bandpower_kurtosis_O,1.0018671220676476
N3_sigma_bandpower_kurtosis_F,0.6799903277361043
N3_sigma_bandpower_kurtosis_C,0.7007678119288252
N3_sigma_bandpower_kurtosis_O,0.8014961859859632
N3_delta/theta_max_F,0.3915091325872264
N3_delta/theta_max_C,0.38225766165414005
N3_delta/theta_max_O,0.4343941294176842
N3_delta/theta_min_F,0.45373954906434705
N3_delta/theta_min_C,0.4651188014376216
N3_delta/theta_min_O,0.48514772504376713
N3_delta/theta_mean_F,0.40045465506982286
N3_delta/theta_mean_C,0.4041823296253231
N3_delta/theta_mean_O,0.4488372354836259
N3_delta/theta_std_F,0.3196814572856876
N3_delta/theta_std_C,0.3209311829907804
N3_delta/theta_std_O,0.41115313656077634
N3_delta/alpha_max_F,0.3906885380767025
N3_delta/alpha_max_C,0.38136043392479474
N3_delta/alpha_max_O,0.4291150447654681
N3_delta/alpha_min_F,0.45358370174152796
N3_delta/alpha_min_C,0.4620077713735081
N3_delta/alpha_min_O,0.4708485632424248
N3_delta/alpha_mean_F,0.4001132494219709
N3_delta/alpha_mean_C,0.40264296730699023
N3_delta/alpha_mean_O,0.44175486185002866
N3_delta/alpha_std_F,0.3168124842973122
N3_delta/alpha_std_C,0.31726626845483685
N3_delta/alpha_std_O,0.4007686325725606
N3_theta/alpha_max_F,0.5258670440622303
N3_theta/alpha_max_C,0.49954923253098443
N3_theta/alpha_max_O,0.5488140496431926
N3_theta/alpha_min_F,0.5487423777146059
N3_theta/alpha_min_C,0.5029372561877006
N3_theta/alpha_min_O,0.4911639568680199
N3_theta/alpha_mean_F,0.545496553038016
N3_theta/alpha_mean_C,0.5110232915246912
N3_theta/alpha_mean_O,0.5298733558553423
N3_theta/alpha_std_F,0.4953045817852406
N3_theta/alpha_std_C,0.4694936347703207
N3_theta/alpha_std_O,0.5866034920426428
R_mean_gradient_F3M2,1.0776746957093812
R_mean_gradient_F4M1,0.8975120025178899
R_mean_gradient_C3M2,0.9921671745410555
R_mean_gradient_C4M1,0.9519087971678654
R_mean_gradient_O1M2,0.9027028235862625
R_mean_gradient_O2M1,0.7516712414813106
R_kurtosis_F3M2,0.9728376083556746
R_kurtosis_F4M1,0.8380903602471501
R_kurtosis_C3M2,0.9028639140443926
R_kurtosis_C4M1,0.8019457223568266
R_kurtosis_O1M2,0.8873592451985844
R_kurtosis_O2M1,0.8861526194729271
R_delta_bandpower_max_F,0.9907996530880645
R_delta_bandpower_max_C,1.0267655345297064
R_delta_bandpower_max_O,1.1279071853060694
R_theta_bandpower_max_F,1.0553848154667127
R_theta_bandpower_max_C,1.011871444014499
R_theta_bandpower_max_O,1.0742367869680993
R_alpha_bandpower_max_F,0.9718860749694492
R_alpha_bandpower_max_C,0.8555604279394889
R_alpha_bandpower_max_O,0.738433548093869
R_delta_bandpower_min_F,0.9691227629183409
R_delta_bandpower_min_C,0.8593483050425659
